industry_desc,ind_code,year,emp_code,est_number,total_employment,paid_employees,total_income,total_exp,compensation,other_exp,value_of_output,intermediate_exp,value_added,tf_assets,change_inv,subsidy,commerce_transaction
Manufacture of other electrical equipment,1750,2017,B,7,86,86,143152.00,113072.00,16156.00,96916.00,136520.00,82040.00,49999.00,3385.00,2551.00,0.00,0.00
Manufacture of electric lighting equipment,1748,2017,B,8,98,88,83303.00,74602.00,13223.00,61378.00,77124.00,48504.00,26286.00,79.00,-2703.00,0.00,0.00
Manufacture of rubber products,1729,2017,A,82,11460,11452,33647970.00,27183075.00,3439624.00,23743451.00,32552674.00,18701800.00,12514808.00,1552180.00,-73531.00,0.00,0.00
"Manufacture of non-metallic mineral products, n.e.c.",1732,2017,B,469,5157,5004,5940388.00,5307616.00,364652.00,4942964.00,5630881.00,4374390.00,1125390.00,10562.00,-655624.00,0.00,0.00
"Manufacture of grain mill products, starches and starch products",176,2017,B,1125,10683,9179,7223840.00,6197488.00,1035002.00,5162486.00,6679797.00,4294911.00,2248745.00,264683.00,-263176.00,0.00,0.00
Manufacture of optical instruments and photographic equipment,1744,2017,B,3,12,12,29231.00,22214.00,2025.00,20189.00,16031.00,3487.00,9803.00,0.00,840.00,0.00,0.00
Manufacture of electronic components,1739,2017,A,135,153036,153026,589669635.00,422303881.00,59434879.00,362869002.00,594822786.00,292983783.00,278695323.00,42893748.00,14699652.00,14587.00,56465539.00
Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,1754,2017,A,11,872,854,2962735.00,2618087.00,249853.00,2368234.00,2999200.00,2132978.00,762047.00,167929.00,17162.00,0.00,0.00
Manufacture of games and toys,1763,2017,B,10,96,92,152041.00,207656.00,69864.00,137792.00,147343.00,107211.00,25149.00,45.00,-1398.00,0.00,0.00
Manufacture of glass and glass products,1731,2017,A,41,4546,4538,17336007.00,14614481.00,1136848.00,13477633.00,17194174.00,10263732.00,4747296.00,11178.00,-140567.00,0.00,0.00
"Spinning, weaving and finishing of textiles",1711,2017,B,74,907,885,305864.00,279847.00,83046.00,196801.00,302853.00,152598.00,128160.00,0.00,-11532.00,4275.00,0.00
Manufacture of other textiles,1712,2017,B,116,1274,1202,1007956.00,849084.00,155234.00,693850.00,989299.00,609586.00,352315.00,10277.00,-29548.00,16082.00,0.00
"Manufacture of products of wood, cork, straw and plaiting materials",1719,2017,B,268,2195,2062,1123979.00,942317.00,197217.00,745100.00,1122621.00,572802.00,479417.00,36998.00,-22743.00,486.00,0.00
Processing and preserving of meat,171,2017,B,108,918,815,2524997.00,2361980.00,110549.00,2251431.00,2364490.00,2072043.00,339778.00,0.00,54904.00,0.00,0.00
Manufacture of general purpose machinery,1751,2017,B,47,594,585,569868.00,466075.00,78333.00,387742.00,561645.00,306297.00,206915.00,750.00,-11383.00,0.00,0.00
Manufacture of electric lighting equipment,1748,2017,A,31,6338,6338,9475129.00,8344553.00,1307010.00,7037543.00,9203248.00,5802420.00,2842724.00,257907.00,18836.00,0.00,0.00
Manufacture of other fabricated metal products; metal working service activities,1738,2017,B,405,4644,4545,10738488.00,9173818.00,689683.00,8484136.00,10180625.00,6618936.00,2878065.00,194306.00,163100.00,0.00,0.00
Custom tailoring and dressmaking,1714,2017,A,36,1334,1321,573077.00,474397.00,159096.00,315301.00,566949.00,265248.00,271619.00,4109.00,11940.00,0.00,0.00
Printing and service activities related to printing,1721,2017,B,1244,12962,12785,10627851.00,9800254.00,1773609.00,8026645.00,9323480.00,5874715.00,2985605.00,79492.00,-1098770.00,0.00,0.00
