"Industry Description","2017 Total Employment of Less than 20 Number of establishments","2017 Total Employment of Less than 20 Total employment","2017 Total Employment of Less than 20 Paid employees","2017 Total Employment of Less than 20 Total income","2017 Total Employment of Less than 20 Total expense","2017 Total Employment of Less than 20 Compensation","2017 Total Employment of Less than 20 Other expense","2017 Total Employment of Less than 20 Value of output","2017 Total Employment of Less than 20 Intermediate expense","2017 Total Employment of Less than 20 Value added","2017 Total Employment of Less than 20 Gross addition to tangible fixed assets","2017 Total Employment of Less than 20 Change in inventories","2017 Total Employment of Less than 20 Subsidies","2017 Total Employment of Less than 20 Sales from e-commerce transactions"
"Processing and preserving of meat",108,918,815,2524997,2361980,110549,2251431,2364490,2072043,339778,0,54904,0,0
"Processing and preserving of fish, crustaceans and mollusks",136,1522,1182,1492015,1316829,95394,1221435,1437125,1089467,308667,18025,-65371,36,0
"Processing and preserving of fruits and vegetables",82,888,627,530950,468445,54458,413987,523525,327349,144579,0,2131,0,0
"Manufacture of vegetable and animal oils and fats",51,525,469,12495415,12433627,53929,12379698,12498645,11597040,456833,39927,9106389,120,0
"Manufacture of dairy products",54,397,255,119085,95619,16365,79254,108880,64318,50855,1639,2146,0,0
"Manufacture of grain mill products, starches and starch products",1125,10683,9179,7223840,6197488,1035002,5162486,6679797,4294911,2248745,264683,-263176,0,0
"Manufacture of other food products",7140,52918,42383,21414636,19498547,2734721,16763825,21014721,14779850,5094292,70064,-331082,1652,0
"Manufacture of prepared animal feeds",68,1001,997,3044084,2381579,112427,2269152,2744765,1799717,815966,0,-26321,0,0
"Manufacture of beverages",2306,11612,10400,5512485,4561688,976889,3584799,5499315,2629969,2270528,381448,55624,0,0
"Manufacture of tobacco products",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Spinning, weaving and finishing of textiles",74,907,885,305864,279847,83046,196801,302853,152598,128160,0,-11532,4275,0
"Manufacture of other textiles",116,1274,1202,1007956,849084,155234,693850,989299,609586,352315,10277,-29548,16082,0
"Manufacture of wearing apparel, except fur apparel",552,6340,5809,1913025,1731357,665421,1065936,1978865,985332,898571,1320,9921,0,0
"Custom tailoring and dressmaking",563,4325,4043,2006930,1762733,453953,1308780,2000676,992888,786798,941,-13090,0,0
"Manufacture of knitted and crocheted apparel",11,139,137,86643,66168,19813,46355,75402,33376,43084,102,-4379,0,0
"Tanning and dressing of leather; manufacture of luggage and handbags",47,686,614,475222,435876,58242,377634,465975,357507,91486,3972,10562,0,0
"Manufacture of footwear",94,1199,960,288258,259201,57640,201561,286753,179056,96656,0,8928,0,0
"Sawmilling and planing of wood",65,633,587,515871,426767,62297,364470,477724,294770,168346,6293,-48151,0,0
"Manufacture of products of wood, cork, straw and plaiting materials",268,2195,2062,1123979,942317,197217,745100,1122621,572802,479417,36998,-22743,486,0
"Manufacture of paper and paper products",146,1533,1503,3251299,2695519,272985,2422534,3023802,1922517,884108,5786,22913,0,0
"Printing and service activities related to printing",1244,12962,12785,10627851,9800254,1773609,8026645,9323480,5874715,2985605,79492,-1098770,0,0
"Reproduction of recorded media",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of refined petroleum products",6,61,61,1834774,1805778,16985,1788793,1824318,1698105,63347,5098,80581,0,0
"Manufacture of other fuel products",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of basic chemicals",118,1465,1436,6719432,5857144,590261,5266883,6245607,3518310,1953892,114057,-301368,0,0
"Manufacture of other chemical products, n.e.c.",156,1821,1816,20917112,17864002,391255,17472748,21021488,16296741,3721441,4279,546075,0,0
"Manufacture of man-made fibers",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",31,409,409,244883,218153,39130,179023,226986,152021,53026,0,-4229,0,0
"Manufacture of rubber products",67,670,630,1557257,1468169,138573,1329596,1540413,1205305,291773,51646,-6521,0,0
"Manufacture of plastics products",331,4917,4912,12259622,9707080,1113354,8593726,11718088,7107648,4247871,153378,236438,0,0
"Manufacture of glass and glass products",36,272,267,278523,241346,41393,199953,276453,130532,92480,0,12140,0,0
"Manufacture of non-metallic mineral products, n.e.c.",469,5157,5004,5940388,5307616,364652,4942964,5630881,4374390,1125390,10562,-655624,0,0
"Manufacture of basic iron and steel",109,1527,1500,5912355,5757520,428549,5328971,5342035,3786134,858032,37843,-312992,0,0
"Manufacture of basic precious and other non-ferrous metals",7,106,106,244814,214947,23013,191934,240969,174195,55748,3126,-10914,0,0
"Casting of metals",19,227,227,201461,191413,28663,162750,199162,137711,55308,0,-9409,0,0
"Manufacture of structural metal products, tanks, reservoirs and steam generators",279,3067,3050,2740374,2544438,290224,2254214,2773267,2075734,570032,65364,96653,234590,0
"Manufacture of weapons and ammunition",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of other fabricated metal products; metal working service activities",405,4644,4545,10738488,9173818,689683,8484136,10180625,6618936,2878065,194306,163100,0,0
"Manufacture of electronic components",15,164,161,454905,375253,43577,331677,448115,286623,132583,18709,1183,0,738
"Manufacture of computers and peripheral equipment and accessories",3,37,37,53580,43291,10660,32631,54339,24599,22040,0,6623,0,24191
"Manufacture of communication equipment",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of consumer electronics",3,40,38,46734,40299,8621,31678,46333,26664,16533,578,1161,0,0
"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",7,84,84,415553,318326,23972,294355,415388,275178,126258,5632,1523,0,0
"Manufacture of optical instruments and photographic equipment",3,12,12,29231,22214,2025,20189,16031,3487,9803,0,840,0,0
"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",14,204,204,179175,172919,38453,134466,177325,107628,53286,1000,290,0,0
"Manufacture of batteries and accumulators",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of wiring and wiring devices",11,126,126,469810,461085,26362,434723,462300,393545,44174,446,1684,0,0
"Manufacture of electric lighting equipment",8,98,88,83303,74602,13223,61378,77124,48504,26286,79,-2703,0,0
"Manufacture of domestic appliances",13,112,112,443533,418664,29597,389068,446583,360697,64623,212,5521,0,0
"Manufacture of other electrical equipment",7,86,86,143152,113072,16156,96916,136520,82040,49999,3385,2551,0,0
"Manufacture of general purpose machinery",47,594,585,569868,466075,78333,387742,561645,306297,206915,750,-11383,0,0
"Manufacture of special purpose machinery",45,454,432,1213360,1099117,99981,999135,1204066,899514,241529,6969,31232,0,0
"Manufacture of motor vehicles",20,201,201,403488,340184,26106,314078,266127,106554,103323,0,-9295,0,0
"Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers",28,241,241,60398,48961,17607,31354,60303,28882,30397,585,-1443,0,0
"Manufacture of parts and accessories for motor vehicles",39,285,285,1050370,681165,42737,638428,1075146,610312,432891,0,58773,0,0
"Building of ships and boats",21,257,257,917471,889812,43030,846782,286168,161250,90803,192,35222,0,0
"Manufacture of air and spacecraft and related machinery",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of transport equipment, n.e.c.",30,162,131,91445,81620,13443,68177,91813,59014,27166,939,-740,0,0
"Manufacture of furniture",680,4345,4097,2381081,1947122,321926,1625196,2103632,1096834,857342,199685,63728,0,0
"Manufacture of jewelry, bijouterie and related articles",55,412,407,378622,276350,63703,212646,330805,114876,177710,20835,26757,0,0
"Manufacture of musical instruments",4,42,42,32945,28244,8535,19709,29051,7869,16078,18,-6066,0,0
"Manufacture of sports goods",5,42,42,38136,33772,7873,25899,67351,31838,25223,0,22008,0,12520
"Manufacture of games and toys",10,96,92,152041,207656,69864,137792,147343,107211,25149,45,-1398,0,0
"Manufacture of medical and dental instruments and supplies",23,218,218,262153,243079,39209,203870,257802,173042,66975,3885,-9619,0,0
"Other manufacturing, n.e.c.",92,977,924,1049793,928981,103701,825280,1052626,749925,248095,7013,17176,0,0
"Repair of fabricated metal products, machinery and equipment",485,6209,6207,3979903,3603053,891390,2711664,3738365,2278999,1325034,94357,-32308,0,0
"Installation of industrial machinery and equipment",3,52,52,73742,69700,10453,59246,73731,41812,18601,9037,89,0,0
