"Industry Description","2017 Total Employment of 20 and Over Number of establishments","2017 Total Employment of 20 and Over Total employment","2017 Total Employment of 20 and Over Paid employees","2017 Total Employment of 20 and Over Total income","2017 Total Employment of 20 and Over Total expense","2017 Total Employment of 20 and Over Compensation","2017 Total Employment of 20 and Over Other expense","2017 Total Employment of 20 and Over Value of output","2017 Total Employment of 20 and Over Intermediate expense","2017 Total Employment of 20 and Over Value added","2017 Total Employment of 20 and Over Gross addition to tangible fixed assets","2017 Total Employment of 20 and Over Change in inventories","2017 Total Employment of 20 and Over Subsidies","2017 Total Employment of 20 and Over Sales from e-commerce transactions"
"Manufacture of batteries and accumulators",6,1727,1727,10602672,9731754,970012,8761743,10990897,8449640,2352534,85710,816594,0,0
"Manufacture of wiring and wiring devices",35,7218,7106,36264915,32809672,2062326,30747346,36131085,28359778,6544337,282216,1334537,0,0
"Manufacture of electric lighting equipment",31,6338,6338,9475129,8344553,1307010,7037543,9203248,5802420,2842724,257907,18836,0,0
"Manufacture of domestic appliances",19,2645,2632,18848904,18105923,1011836,17094087,16247304,12122572,2110145,251391,-2250314,0,0
"Manufacture of other electrical equipment",15,4975,4975,44222806,38256278,1562013,36694265,44606736,32646151,8068953,99800,1200828,0,571881
"Manufacture of general purpose machinery",77,19234,19234,73802376,66447078,6077268,60369810,73119035,53611844,15990208,886232,1190405,462933,306552
"Manufacture of special purpose machinery",95,16781,16740,37447745,33125029,3781821,29343208,37074336,25129520,10342414,410484,441086,798,86710
"Manufacture of motor vehicles",26,6926,6926,312926569,253152473,5653709,247498765,315069144,231693972,75796074,4499424,2458038,0,0
"Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers",11,872,854,2962735,2618087,249853,2368234,2999200,2132978,762047,167929,17162,0,0
"Manufacture of parts and accessories for motor vehicles",98,81750,81747,222284989,192714544,24140328,168574216,218086342,141202581,66667846,3663779,533140,443352,0
"Building of ships and boats",27,4996,4935,61540995,69866240,3010931,66855309,59359128,53359519,4136615,900983,-4977006,1678136,0
"Manufacture of air and spacecraft and related machinery",8,1706,1706,11502034,6491157,1845151,4646006,12558214,5362871,7095807,0,5082185,0,0
"Manufacture of transport equipment, n.e.c.",29,8642,8635,99526924,93206608,3325933,89880675,87718504,63437015,13178355,1189915,2823290,0,0
"Manufacture of furniture",265,21029,20945,30590497,28057737,4301531,23756205,29817511,20851594,7585887,352270,1004076,0,0
"Manufacture of jewelry, bijouterie and related articles",35,3360,3311,2399501,2347988,554463,1793525,2400107,1527758,684553,43452,62571,109671,0
"Manufacture of musical instruments",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of sports goods",11,2402,2395,3739440,3397208,680936,2716272,3787150,2470921,1127572,34776,63352,0,0
"Manufacture of games and toys",18,2793,2790,4389530,4145309,593788,3551521,4305024,2862778,979221,49120,-122851,204,0
"Manufacture of medical and dental instruments and supplies",35,17363,17362,22250408,18912174,4391782,14520392,21395182,10316112,9300642,302247,57472,0,0
"Other manufacturing, n.e.c.",68,6597,6584,6901185,5923734,1315498,4608236,6794485,3694326,2615984,83525,61117,0,0
"Repair of fabricated metal products, machinery and equipment",150,13365,13352,27185845,23938837,4868004,19070833,27181986,16197429,9734371,1059540,-209809,26514,16344
"Installation of industrial machinery and equipment",..,..,..,..,..,..,..,..,..,..,..,..,..,..
