industry_desc,ind_code,year,emp_code,est_number,total_employment,paid_employees,total_income,total_exp,compensation,other_exp,value_of_output,intermediate_exp,value_added,tf_assets,change_inv,subsidy,commerce_transaction
"Manufacture of tanks, reservoirs and containers of metal",15245,2016,B,28,259,256,243369.00,232478.00,21155.00,211323.00,247728.00,188927.00,35343.00,0.00,14808.00,0.00,0.00
"Manufacture of fishing nets and other nettings, (excluding mosquito and hairnets)",1591,2016,A,3,738,738,1557902.00,1475402.00,145458.00,1329945.00,1395028.00,1129686.00,251653.00,22423.00,-135029.00,0.00,0.00
"Copper and copper base alloy (brass, bronze) casting",15239,2016,A,4,532,532,2927102.00,2661104.00,175290.00,2485814.00,2926126.00,2137817.00,492391.00,0.00,-86743.00,0.00,0.00
"Manufacture of switches, fuses, sockets, plugs, conductors and lightning arresters and other control apparatus",15286,2016,B,5,69,69,109325.00,84488.00,14892.00,69596.00,113276.00,57317.00,41489.00,231.00,4293.00,0.00,0.00
Manufacture of parts and accessories of motorcycles,15363,2016,A,4,422,420,1023967.00,1008737.00,109162.00,899576.00,1001984.00,822463.00,158736.00,23705.00,-18357.00,0.00,0.00
Manufacture of machinery for metallurgy,15337,2016,B,4,46,46,206703.00,156949.00,5820.00,151129.00,206865.00,137708.00,64079.00,0.00,1266.00,0.00,0.00
"Manufacture of sporting and athletic goods, n.e.c.",15383,2016,B,7,54,47,47277.00,34719.00,9406.00,25314.00,45694.00,11685.00,26261.00,0.00,-4876.00,0.00,0.00
Manufacture of furniture and fixtures of metal,15372,2016,B,48,544,543,1125148.00,1035380.00,141694.00,893686.00,1137473.00,816108.00,274220.00,11638.00,5646.00,0.00,0.00
"Pipes and tubes manufacturing, iron or steel",15227,2016,B,3,39,39,43947.00,37830.00,4580.00,33251.00,44089.00,29495.00,14075.00,0.00,773.00,0.00,0.00
Manufacture of machinery for metallurgy,15337,2016,A,36,4614,4609,9061745.00,8136044.00,1141803.00,6994240.00,8267021.00,4612768.00,2863853.00,42203.00,-537452.00,2127.00,0.00
Manufacture of vitreous china tableware and other kitchen articles of a kind commonly used for domestic or toilet purposes,15210,2016,A,14,8964,8961,45456794.00,38658090.00,2942818.00,35715273.00,44941139.00,32248377.00,11419195.00,1570277.00,24550.00,330.00,0.00
"Non-ferrous smelting and refining , except precious metals",15232,2016,A,5,1191,1191,97651741.00,94953381.00,661503.00,94291878.00,108222400.00,99157209.00,7285229.00,1249690.00,12119007.00,0.00,0.00
Manufacture of prepared animal feeds,1564,2016,A,116,9057,9031,85040474.00,75249491.00,2540825.00,72708666.00,83506871.00,66027507.00,13074503.00,2067930.00,2140015.00,0.00,0.00
"Manufacture of paint removers, thinners, and brush cleaners",15172,2016,A,3,261,260,1722582.00,1650751.00,68272.00,1582478.00,1737415.00,1512827.00,166453.00,12504.00,54840.00,0.00,0.00
Manufacture of motorcycle engines and parts thereof,15360,2016,B,3,34,33,383856.00,374842.00,5519.00,369323.00,383856.00,340671.00,36638.00,14440.00,64267.00,0.00,0.00
