"Industry Description","2015 Total Employment of Less than 20 Number of establishments","2015 Total Employment of Less than 20 Total employment","2015 Total Employment of Less than 20 Paid employees","2015 Total Employment of Less than 20 Total income","2015 Total Employment of Less than 20 Total expense","2015 Total Employment of Less than 20 Compensation","2015 Total Employment of Less than 20 Other expense","2015 Total Employment of Less than 20 Value of output","2015 Total Employment of Less than 20 Intermediate expense","2015 Total Employment of Less than 20 Value added","2015 Total Employment of Less than 20 Gross addition to tangible fixed assets","2015 Total Employment of Less than 20 Change in inventories","2015 Total Employment of Less than 20 Subsidies","2015 Total Employment of Less than 20 Sales from e-commerce transactions"
"Slaughtering and meat packing",37,476,475,205773,104999,26778,78221,195420,63758,138064,4657,227,0,0
"Production processing and preserving of meat and meat products",85,822,822,637117,580819,89380,491438,633599,428117,164521,18000,15613,0,0
"Canning/packing of fish and other marine products",10,150,149,455193,422542,15182,407360,437196,318972,85801,2993,-26837,0,0
"Drying of fish and other marine products",54,546,407,84896,70328,14369,55959,83163,55260,27808,347,-52,0,0
"Smoking of fish and other marine products",20,258,206,265665,230440,19255,211185,271988,191536,69765,0,9999,0,0
"Manufacture of fish paste (bagoong) and fish sauce(patis)",27,324,252,9805,6802,4316,2487,9805,2255,7359,0,-76,0,0
"Processing of seaweeds; manufacture of agar-agar or carageenan",25,194,190,925642,888845,23639,865208,957205,818800,72363,12190,106590,0,0
"Production of fishmeal/prawn feeds",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of unprepared animal feeds from fish, crustaceans and mollusks and other aquatic animals",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Processing, preserving and canning of fish, crustacean and mollusks, n.e.c. manufacture of fishball, etc.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Canning/packing and preserving of fruits and fruit juices",30,322,270,740578,710847,46973,663874,704370,531353,93997,7008,-30831,0,0
"Canning/packing and preserving of vegetables and vegetable juices",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of fruit and vegetable sauces (e.g. tomato sauce and paste)",9,127,110,96577,91930,15022,76908,98203,75504,21687,0,5290,0,0
"Quick-freezing of fruits and vegetables",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Roasting of nut or manufacture of nut foods and pastes",19,150,113,15619,14275,3639,10636,15691,9907,5219,0,-1521,0,0
"Manufacture of perishable prepared foods of fruit and vegetables, such as: salad, peeled or cut vegetables, tofu (bean curd)",20,270,212,118735,64961,11044,53917,118256,46380,69481,40,11355,0,0
"Processing and preserving of fruits and vegetables, n.e.c.",7,78,68,79633,71196,7671,63524,79715,60336,17896,0,-1617,0,0
"Manufacture of virgin coconut oil",20,184,170,157095,144177,17316,126860,104295,87707,4946,0,-14964,0,0
"Manufacture of desiccated coconut",8,58,56,68043,57889,9091,48798,68056,47114,20032,0,9262,0,0
"Manufacture of nata de coco",5,95,90,45500,28788,10460,18327,45500,16762,28693,0,-8172,0,0
"Production of crude vegetable oil, cake and meals, other than virgin coconut oil (see class 1041)",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of refined coconut and other vegetable oil (including corn oil) and margarine",22,194,190,631669,606258,47846,558412,626872,439912,136208,0,-10935,0,0
"Manufacture of unprepared animal feeds from vegetable, animal oils and fats",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of vegetable and animal oil and fats, n.e.c.",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Processing of fresh milk and cream",10,64,64,101953,96364,9658,86706,100798,77693,19181,0,2096,0,0
"Manufacture of powdered milk (except for infants) and condensed or evaporated milk (filled, combined or reconstituted)",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of infants' powdered milk",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of butter, cheese and curd",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of ice cream and sherbet, ice drop, ice candy and other flavored ices",47,364,348,148728,126590,27797,98793,148861,68914,61164,0,-546,0,0
"Manufacture of milk-based infants' and dietetic foods",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of dairy products, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Rice/corn milling",1050,9113,7336,11129600,10402288,494587,9907701,11032174,9262333,1653742,1203917,-56927,0,0
"Cassava flour milling",9,79,72,8573,7978,1785,6193,9244,6354,2718,0,661,60,0
