Industry Description,Number of establishments,Total employment,Paid employees,Total income,Total expense,Compensation,Other expense,Value of output,Intermediate expense,Value added,Gross addition to tangible fixed assets,Change in inventories,Subsidies,Sales from e-commerce transactions
Operation of rolling mills,23,1768,1764,19768686,17083821,768223,16315598,19449911,15270822,3834438,81591,170880,0,0
"Pipes and tubes manufacturing, iron or steel",25,2687,2685,10782925,9166144,603453,8562691,10513706,7620579,2604558,119431,-353723,0,0
Manufacture of pipe fittings of iron or steel,5,421,421,1773071,1694915,69603,1625312,1789657,1506925,179489,1846,12992,0,0
"Manufacture of galvanized steel sheets, tinplates and other coated metal products made in steel works or rolling mills",26,1852,1845,20750453,20223215,976997,19246219,20658772,17519906,2386277,296019,-728916,0,0
"Operation of steel works and rolling mills, n.e.c.",6,639,639,6902278,6697780,121762,6576017,5119470,4475009,406419,8913,446224,0,0
Gold and other precious metal refining,s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Non-ferrous smelting and refining , except precious metals",7,1890,1890,65604127,66806768,1201333,65605435,63393069,53470186,6132356,8326016,8309347,0,0
"Non-ferrous rolling, drawing and extrusion mills",s,s,s,s,s,s,s,s,s,s,s,s,s,s
Manufacture of pipe fittings of non-ferrous metals,5,281,281,294501,243456,23303,220154,287402,199020,87190,0,-2142,0,0
"Manufacture of basic precious and other non-ferrous metals, n.e.c.",3,240,240,1902963,1403893,134258,1269636,1900541,1129936,645233,6360,101355,0,0
Casting/foundry of iron,10,415,415,329401,310162,76735,233427,326788,199183,110616,14339,-515,0,0
Casting/foundry of steel,8,839,839,1715103,1527311,237530,1289781,1719997,1193653,473212,41363,18956,0,0
Aluminum and aluminum base alloy casting,13,1955,1955,4707602,4034002,440778,3593224,4709380,3136656,1268012,48315,19236,0,0
"Copper and copper base alloy (brass, bronze) casting",3,439,439,3035670,2975330,171068,2804262,3031898,2454942,303743,102751,-120240,0,0
Zinc and zinc alloy casting,3,568,568,942508,1069116,175726,893391,936742,720808,135939,34128,14824,0,0
"Casting of non-ferrous metal, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of structural steel products and metal components of bridges, smoke stacks and buildings",38,9726,9722,10561313,10213208,2255221,7957987,10616351,6177294,3215349,139611,166889,0,0
"Manufacture of other architectural and related metal work (e.g., doors, windows, shutters, gates, etc.)",59,3030,2999,3542145,3352732,449139,2903593,3567751,2637195,786131,92166,-1028,0,0
"Manufacture of structural metal products, n.e.c.",45,2965,2957,7174517,6862666,765754,6096911,6586207,5002820,1359404,195064,163126,3918,0
"Manufacture of tanks, reservoirs and containers of metal",16,1252,1252,2713574,2553051,521655,2031396,2705819,1684200,757330,35886,78103,0,0
"Manufacture of steam generators, except central heating hot water boilers",6,1322,1322,1941786,1286203,467620,818584,1937204,596229,1276494,62414,93956,0,0
Manufacture of small arms and accessories,5,954,953,2795569,2700916,509399,2191517,2495013,1678769,637823,134353,-178600,0,0
"Manufacture of weapons and ammunitions, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Forging, pressing, stamping and roll-forming of metal products",66,6867,6848,20028274,19302688,1958820,17343868,19848299,15139895,3514075,577700,219899,0,0
Powder metallurgy,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Treatment and coating of metals; machining,24,1290,1290,2647314,2461121,336541,2124579,2576760,1452919,864323,204059,-30239,0,0
Manufacture of cutlery,5,427,427,956039,928301,103727,824574,977938,714876,199445,10532,4386,2212,0
Manufacture of hand tools,12,506,506,618563,587058,125541,461517,627319,371647,213210,0,48550,0,0
Manufacture of general hardware,7,3231,3231,4596032,4075194,397608,3677586,4775491,3763992,850633,50623,338434,0,0
Manufacture of blacksmithing tools and welding shop operation,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Manufacture of molding boxes for metal foundry,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Manufacture of metal containers used for the packing or conveyance of goods,35,3768,3756,16230678,15992480,938870,15053611,15561715,13081198,1928760,468864,-837051,0,0
"Manufacture of wire nails, not in steel rolling",8,392,392,1495031,1381524,54499,1327025,1524539,1309156,184826,448,194160,0,0
Manufacture of fa bricated wire products,21,4761,4748,5358247,5074364,838304,4236060,5333061,3459372,1449653,420584,162371,0,0
Manufacture of small hand-operated kitchen appliances,4,324,324,1170800,1085120,143329,941791,1163690,792648,276562,4569,-46823,0,0
Manufacture of metal sanitary ware and plumbing fixtures,3,927,926,2127107,1527725,172906,1354819,2131904,1111733,956215,70089,-11130,0,0
"Manufacture of needles (except for knitting and sewing machines), pins and fasteners including zippers",3,726,683,1240378,1126830,127016,999815,1185362,799332,275515,-9000,-40990,0,0
"Manufacture of aluminum window and door screens, shades and venetian blinds",12,1377,1376,1759321,1668499,312971,1355528,1758351,1146489,438591,6640,304743,0,0
"Manufacture of miscellaneous fabricated metal products, n.e.c.",100,7757,7717,12380883,11842810,1783477,10059333,11863630,8477372,2621082,274434,-192065,0,8412
Manufacture of electronic valves and tubes,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Manufacture of semi-conductor devices and other electronic components,145,150648,150644,435795464,392689368,50894312,341795056,441468596,287703328,133727326,17643066,9517394,604,0
Manufacture of computers and peripheral equipment and accessories,42,73423,72947,209754595,193670513,17180165,176490348,213485307,162810237,43915849,1997778,-31519317,0,0
Manufacture of communication equipment,12,5178,5158,6079173,5733564,832387,4901177,6252111,4016313,1082569,150553,454153,0,0
Manufacture of consumer electronics,22,12936,12936,55170854,43615683,2662867,40952816,55112046,39053997,15314647,171365,-44787,0,0
"Manufacture of radar equipment, radio remote control apparatus",s,s,s,s,s,s,s,s,s,s,s,s,s,s
Manufacture of electrical quantities measuring and controlling instruments,3,118,118,262082,259287,15624,243662,262082,224915,22194,0,26638,0,0
Manufacture of temperature measuring and controlling hygrometric instruments,4,298,298,228229,206634,70546,136086,200570,116114,99938,3876,1958,0,0
Manufacture of flow of liquids or gases measuring and controlling instruments,c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of mechanical motion, measuring and controlling, timing and cycle instruments",..,..,..,..,..,..,..,..,..,..,..,..,..,..
Manufacture of industrial process control equipment,c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of professional and scientific and measuring and controlling equipment, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
Manufacture of watches and clocks of all kinds including cases of precious metals,3,2135,2135,1055498,1007062,626600,380462,1058190,210546,790271,20954,-44006,0,0
"Manufacture of other watch and clocks parts, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
Manufacture of optical instruments and lenses,19,7847,7847,15120643,13397553,1738159,11659394,14950296,10118540,4189289,223576,-319708,0,0
Manufacture of photographic equipment and accessories,11,6122,6119,7671730,7267469,1214710,6052759,7832657,5397334,2000928,642237,331702,0,0
Manufacture of magnetic and optical media,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Manufacture of electric motors and generators,5,341,341,784472,749513,85401,664112,771266,576653,150787,13177,-5285,0,0
Manufacture of electrical transformers,18,4617,4612,3486850,3160004,546081,2613924,3466840,2244886,993381,39729,45764,0,3007
Manufacture of switch gear and switchboard apparatus,3,356,356,1026464,995801,80420,915381,1011556,824435,152574,20319,9385,0,0
Manufacture of electricity distribution equipment,8,1188,1188,3251756,2052007,194775,1857232,2817892,1717698,1000070,8393,-512168,0,0
"Manufacture of switches, fuses, sockets, plugs, conductors and lightning arresters and other control apparatus",9,1578,1578,2312080,2220829,253551,1967278,2311117,1699380,492767,24620,-6061,0,0
Manufacture of accumulators (storage batteries) including parts,6,3166,3165,15642297,12569509,1607182,10962327,14481146,7846558,6130528,107888,-1945396,0,0
Manufacture of primary cells and batteries,c,c,c,c,c,c,c,c,c,c,c,c,c,c
Manufacture of fiber optic cables,3,772,772,951486,913065,173014,740052,992213,645089,224840,15521,11660,0,0
Manufacture of other electronic and electric wires and cables,27,6865,6865,26458199,23119061,1755185,21363876,26349886,20078423,5507707,192777,-312969,0,0
Manufacture of wiring devices,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Manufacture of electric lamps fluorescent and fixtures,19,4636,4636,5812866,4773525,737544,4035981,5608086,3155252,2050893,16177,-30650,0,0
Manufacture of lighting equipment and parts except for use on cycle and motor equipment,6,1075,1073,1720250,1600912,188821,1412091,1728949,1233804,388146,73130,38691,0,0
Manufacture of motor vehicle lighting equipment,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Manufacture of lighting sets used for christmas trees and the like,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Manufacture of domestic electric fans,5,441,441,818830,803053,96104,706949,830434,659239,137040,20629,1402,0,0
"Manufacture of domestic-type refrigerators and laundry equipment (e.g. clothes washers, washer-dryers, dryers)",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of domestic cooking appliances (e.g. ovens, ranges, cookers, stoves, grillers, etc.)",4,305,305,1835737,1679613,191573,1488041,1812253,1286893,401093,37544,-43145,0,0
"Manufacture of electrothermic domestic appliances (e.g. hair dressing appliances, electric instantaneous storage, heaters, flat-irons, plate warmers, coffee or teamakers)",10,1893,1890,12886153,12515238,758599,11756639,11115433,8050492,1338010,192833,107139,0,0
Manufacture of domestic-type water filters and/or purifiers,c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of domestic appliances, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of battery chargers, solid state",s,s,s,s,s,s,s,s,s,s,s,s,s,s
Manufacture of uninterruptible power supplies (ups),3,4194,4194,42212858,35392516,1374310,34018206,41646882,30567548,8299698,196611,-719897,0,0
"Manufacture of appliance cords, extension cords, and other electrical cord",14,3350,3350,7151530,6767378,976627,5790751,6942455,3903091,2198348,903129,-137475,0,0
"Manufacture of other electrical equipment, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
Manufacture of internal combustion engines (gas and diesel),3,376,376,853700,697277,120242,577034,803620,434663,316731,2592,2467,0,0
Manufacture of engines and turbines for marine propulsion,c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of parts of engines and turbines, except for aircraft, vehicle and cycle engines",..,..,..,..,..,..,..,..,..,..,..,..,..,..
Manufacture of fluid power equipment,5,2073,2073,13753529,12751658,1095168,11656489,13700952,10333162,2775022,546142,171015,554816,0
"Manufacture of pumps for liquids, vacuum pumps, air or other gas compressors",4,329,329,3256359,3123512,223817,2899694,3324896,2673782,484338,84384,103865,0,0
"Manufacture of taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of bearings, gears and driving elements",6,1235,1225,1986163,1415879,325325,1090554,1944315,787207,1009046,0,-17193,0,0
"Manufacture of ovens, furnaces and furnace burners",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of lifting and hoisting machinery, cranes, elevators , industrial trucks, tractors, stackers, specialized ports for lifting and handling equipment",8,477,474,859727,764154,76117,688037,865579,614816,194020,84,-24892,0,0
"Manufacture of derricks, lifting and handling equipment for construction and mining",5,304,304,352901,346009,132850,213160,329736,91603,158856,0,2386,0,0
"Manufacture of other lifting and handling equipment, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of calculating machines, adding machines, cash registers, calculators",4,4167,4167,8930038,8585736,702276,7883459,8886395,7477683,1259182,71146,-1474,0,0
Manufacture of bills/coin counting and coin wrapping machinery,c,c,c,c,c,c,c,c,c,c,c,c,c,c
Manufacture of other of fice and accounting machineries,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of other office machinery and equipment (except computers and peripheral equipment), n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
Manufacture of power-driven hand tools,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Manufacture of weighing machines except scientific weighing apparatus used for laboratories,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Manufacture of refrigerating or freezing equipment for commercial purposes,5,403,403,3370781,3123760,243607,2880153,3280283,2400101,601064,5066,-148828,0,0
Manufacture of unit air-conditioners,9,1081,1081,14660495,13030764,1189283,11841481,10858518,6471322,3090615,325215,-81707,0,0
Manufacture of packing and wrapping machinery,4,226,226,399021,367761,57540,310222,390386,264602,100827,995,-18746,0,0
Manufacture of machinery for cleaning or drying bottles or other containers or for aerating beverages,s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of fans intended for industrial applications, exhaust hoods for commercial, laboratory or industrial use",3,170,170,365078,320442,57074,263368,358954,231981,107036,0,9457,0,0
"Manufacture of gas or electric welding, brazing or soldering machines",9,711,705,1753067,1601985,205105,1396881,1719019,1099264,479042,130425,-70016,0,0
"Manufacture of other general-purpose machinery, n.e.c. (including manufacture of specialized parts for general purpose machinery and equipment)",c,c,c,c,c,c,c,c,c,c,c,c,c,c
Manufacture of farm tractors,8,649,644,1803882,1710499,111585,1598915,1630089,1333731,237284,21646,11148,0,0
Manufacture of mechanical implements for crop production,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of agricultural and forestry machinery and equipment, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
Manufacture of machine tools for working metal,8,452,451,939971,1050428,152209,898219,937489,778647,102056,883,9108,0,0
Manufacture of machine tools and accessories including precision measuring tools,7,305,304,286178,289806,73604,216202,280081,156943,82684,31109,403,0,0
Parts and accessories for the machine tools classified in this group,3,347,347,331650,324344,99728,224616,318861,163183,110163,10127,-16016,0,0
"Manufacture of metal-forming machinery and machine tools, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
Manufacture of machinery for metallurgy,34,3660,3651,7270072,6178380,802459,5375921,8121211,4554298,2956981,940899,642756,0,0
Manufacture of heavy machinery and equipment used for mining and quarrying,4,375,375,1673465,1625034,84636,1540398,1606634,1253438,174124,0,258119,0,0
Manufacture of heavy machinery and equipment used for construction,c,c,c,c,c,c,c,c,c,c,c,c,c,c
Manufacture of machinery for food processing,10,789,789,648483,616914,118594,498319,613973,413147,168972,9031,-26658,45,0
"Manufacture of presses, crushers and similar machinery used to make wine, cider, fruit juices or similar beverages",..,..,..,..,..,..,..,..,..,..,..,..,..,..
Manufacture of textile machinery,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of washing, laundry, dry-cleaning and pressing machines",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of needles for knitting, sewing machines",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of machinery for pulp, paper and paperboard industries",3,200,200,279127,264736,45677,219059,283485,162989,69060,2948,90240,0,0
Manufacture of machinery for working rubber or plastic or for the manufacture of products of these materials,7,586,586,517099,469438,93654,375784,514283,320677,165550,11416,-31310,0,0
Manufacture of printing-trade machinery and equipment,c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of machinery for producing tiles, bricks, shaped ceramic",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of other special-purpose machinery, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
Manufacture of motor vehicles,33,6647,6646,209898115,113234112,4808365,108425746,200286810,89733111,104551418,1192472,6693034,0,0
Manufacture of bodies (coachwork) for motor vehicles,16,1313,1308,3343179,2999593,314962,2684631,3362100,2468311,786421,9640,158263,0,0
Manufacture of trailers and semi-trailers,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Manufacture of electric ignition or starting equipment for internal combustion engines,20,42560,42552,86909071,82719116,9430734,73288382,85283450,64523754,16771115,640247,-157810,196,0
Manufacture of parts and accessories for motor vehicles and their engines,80,31253,31248,99201871,92354346,9282606,83071740,97939795,69663883,22258728,5544955,-848929,282905,0
Building of ships and boats other than sports and pleasure boats,29,19889,19839,83002820,76955427,4200490,72754937,81755793,63934724,15721476,586586,-1677681,356989,0
Manufacture of metal sections for ships and barges,s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of other pleasure and sporting boats, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s,s
Manufacture of air and spacecraft and related machinery,9,3912,3912,19549461,16841002,4051255,12789747,20277775,11446021,8001461,668384,2166992,0,0
Manufacture and assembly of motorcycles,11,3297,3291,57765226,54160098,2073640,52086458,50696551,36584389,7906205,489497,-571127,0,0
Manufacture of motorcycle engines and parts thereof,6,2044,2027,3208592,2901876,453753,2448123,3184303,1838914,932371,78265,-41427,0,0
Manufacture of tricycles and parts thereof,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Manufacture of side cars,3,152,146,101940,100063,14888,85174,75460,56223,18057,0,-5718,0,0
Manufacture of parts and accessories of motorcycles,5,552,550,687726,662256,83277,578979,687359,538751,132277,6087,-351,0,0
Manufacture of bicycles and bicycle parts,s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of invalid carriages, motorized and non-motorized",..,..,..,..,..,..,..,..,..,..,..,..,..,..
Manufacture of hand-propelled vehicles,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Manufacture of wood furniture,151,10823,10710,7600845,7379572,1855936,5523636,7263739,4272477,2369027,77570,-128868,0,0
"Manufacture of rattan furniture (reed, wicker, and cane)",19,1328,1326,1103640,984037,231098,752939,1115154,683651,384234,2581,-9649,0,0
Manufacture of box beds and mattresses,26,4022,4016,9146598,8568791,695625,7873166,8832028,6975818,1481318,144579,195407,0,0
"Manufacture of partitions, shelves, lockers and office and store fixtures",13,798,798,876397,814899,148688,666211,862553,604485,231447,7693,8272,0,0
Manufacture of plastic furniture,12,686,686,1827131,1775933,133799,1642134,1800753,1515716,250397,32035,-51688,0,0
Manufacture of furniture and fixtures of metal,42,2344,2334,3046815,2666239,501771,2164468,2838836,1706429,857780,32478,41185,0,0
"Manufacture of other furniture and fixtures, n.e.c.",9,890,889,2266446,2089278,305129,1784148,2148632,1465452,541056,10535,-6963,0,0
Manufacture of jewelry made of precious and semi-precious stones,14,1648,1637,1379611,1302614,261192,1041423,1392544,949813,388490,10872,23588,0,0
Manufacture of silverware and plated ware,4,245,245,195062,195480,34997,160483,199943,137352,47906,0,-17944,0,0
Manufacture of articles related to jewelry,12,1118,1118,667115,555191,150225,404966,648552,307133,280036,6936,85438,0,0
Manufacture of imitation of jewelry and related articles,14,928,922,342823,326331,106368,219963,326406,132437,159240,6332,-15411,0,0
Manufacture of guitars,3,165,165,67773,58322,27585,30737,71813,20405,40441,1031,9872,0,0
Manufacture of wind and percussion instruments,c,c,c,c,c,c,c,c,c,c,c,c,c,c
Manufacture of musical instrument parts and accessories,c,c,c,c,c,c,c,c,c,c,c,c,c,c
Manufacture of sporting gloves and mitts,3,915,915,672649,659761,205538,454224,669188,319769,250241,942,4243,0,0
Manufacture of sporting balls,7,1263,1263,2550708,2457759,390662,2067097,2577567,1890597,584540,42096,-102497,0,0
"Manufacture of sporting and athletic goods, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
Manufacture of dolls and doll garments,19,2718,2717,6320762,6026582,546515,5480068,6226215,4853233,978016,18075,-395270,0,0
Manufacture of wheeled toys,c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of electronic games (video games, checkers)",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of toys and games, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of medical, surgical, dental furniture and fixtures",7,4619,4615,7633053,7505269,1130537,6374732,7504252,4721543,1998770,25390,-178436,0,0
"Manufacture of ophthalmic goods, eyeglasses, sunglasses, lenses ground to prescription, contact lenses, safety goggles",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of prosthetic appliances, artificial teeth made to order",5,559,559,244331,244013,91573,152440,246180,115973,105437,1816,7212,0,0
Manufacture of medical and precision instruments,15,4576,4571,1842316,1638153,437535,1200618,1843246,894278,752577,369673,56507,0,0
"Manufacture of other medical and dental instruments and supplies, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
Manufacture of pens and pencils of all kinds,3,187,187,796047,529496,79208,450289,826576,243451,393005,386,10912,0,0
"Manufacture of umbrellas, walking sticks, canes, whips and riding crops",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of articles for personal use, e.g. smoking pipes, combs, slides and similar articles",26,2936,2921,1692827,1529040,686910,842129,1656324,633990,936043,4525,-7476,0,0
Manufacture of candles,3,138,138,297867,281703,15325,266379,305828,267414,33830,0,9219,0,0
"Manufacture of artificial flowers, fruits and foliage",..,..,..,..,..,..,..,..,..,..,..,..,..,..
Manufacture of wooden coffin,7,263,263,227017,216279,42963,173316,225978,154080,64994,1904,2943,0,0
Manufacture of metal coffin,c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of buttons, except plastic",4,334,334,167530,156629,51685,104944,167492,83023,74624,2652,13861,0,0
"Manufacture of brooms, brushes and fans",3,94,94,34188,32473,12798,19675,34708,29466,4108,0,-8017,0,0
"Manufacture of identification plates, badges, emblems and tags",3,387,387,340223,272326,84284,188042,326447,129511,177482,27062,-909,0,0
Manufacture of signs and advertising displays,9,438,438,582812,549527,49271,500256,588113,466167,110926,1838,3255,0,0
Manufacture of cigarette lighters,9,747,747,5185934,4886517,422142,4464375,5104577,2670758,1019554,83240,102841,0,0
"Manufacture of miscellaneous articles, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
Repair of fabricated metal products,69,2894,2864,2111134,1875894,434081,1441813,2105728,1143292,845559,33456,33594,0,0
Repair of machinery,46,2234,2231,2386527,1829174,543356,1285818,2367568,1165887,1007126,139684,-206493,0,0
Repair of electronic and optical equipment,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Repair of electrical equipment,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Repairing of ships and boats other than sports and pleasure boats,13,1230,1230,1612600,1345321,205457,1139864,1606891,919238,548621,44853,-585,0,0
Repairing of sports and pleasure boats,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Repair of transport equipment, except motor vehicles, n.e.c.",3,410,406,748924,774470,214393,560077,709739,356384,251763,279594,11928,0,0
Repair of other equipmen t,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Installation of industrial machinery and equipment,..,..,..,..,..,..,..,..,..,..,..,..,..,..
