industry_desc,ind_code,year,emp_code,est_number,total_employment,paid_employees,total_income,total_exp,compensation,other_exp,value_of_output,intermediate_exp,value_added,tf_assets,change_inv,subsidy,commerce_transaction
Manufacture of fertilizers and nitrogen compounds,15166,2015,B,22,164,148,177331.00,167965.00,38007.00,129958.00,177478.00,100479.00,51649.00,5078.00,16155.00,0.00,0.00
"Manufacture of snack products such as corn curls, wheat crunchies and similar products",1543,2015,B,48,509,457,2614783.00,2508880.00,282648.00,2226232.00,2619367.00,2182265.00,398409.00,0.00,-156479.00,0.00,0.00
"Cutting, shaping and finishing of stone",15219,2015,B,24,150,132,29416.00,34935.00,6319.00,28616.00,27736.00,20626.00,3024.00,0.00,-1690.00,0.00,0.00
Manufacture of unprepared animal feeds from grain milling residues,1536,2015,A,14,995,994,10752814.00,10439730.00,272167.00,10167563.00,11066202.00,9621255.00,725683.00,123484.00,873783.00,0.00,0.00
Reproduction of video and computer tapes from mastercopies,15153,2015,B,3,57,57,73597.00,67819.00,15327.00,52492.00,73597.00,44024.00,22272.00,167.00,0.00,0.00,0.00
"Manufacture of articles of cork, straw and plaiting materials",15136,2015,B,42,374,210,21760.00,19382.00,12694.00,6688.00,22432.00,6013.00,15969.00,16.00,1019.00,0.00,0.00
Repair of fabricated metal products,15406,2015,B,234,1909,1864,805505.00,540723.00,208429.00,332293.00,805538.00,264474.00,512701.00,0.00,-7590.00,0.00,0.00
"Reproduction of floppy, hard or compact disks",15154,2015,A,3,407,407,356967.00,303688.00,52871.00,250817.00,355972.00,185886.00,119626.00,4762.00,3778.00,0.00,0.00
Manufacture of motorcycle engines and parts thereof,15360,2015,A,6,2044,2027,3208592.00,2901876.00,453753.00,2448123.00,3184303.00,1838914.00,932371.00,78265.00,-41427.00,0.00,0.00
Manufacture of veneer sheets and plywood,15125,2015,A,35,4890,4881,9012757.00,7748639.00,819986.00,6928653.00,9035305.00,6048317.00,2391452.00,151086.00,-32063.00,0.00,0.00
Manufacture of glass fibers (including glass wool) and yarn of glass fibers,15206,2015,B,17,227,227,91315.00,89192.00,16010.00,73182.00,92899.00,68998.00,22068.00,9458.00,-2663.00,0.00,0.00
Manufacture of plastic materials except man-made fiber and glass fiber,15168,2015,B,13,152,152,139643.00,135863.00,25717.00,110146.00,139643.00,100520.00,31698.00,0.00,4531.00,0.00,0.00
"Manufacture of knitted or crocheted hosiery, underwear and outerwear when knitted o r crocheted directly into shape",15107,2015,A,13,1722,1722,2079560.00,1779312.00,378655.00,1400657.00,2033053.00,1058929.00,734275.00,20714.00,-58127.00,0.00,0.00
Manufacture of machine tools for working metal,15333,2015,A,8,452,451,939971.00,1050428.00,152209.00,898219.00,937489.00,778647.00,102056.00,883.00,9108.00,0.00,0.00
"Baking of bread, cakes, pastries, pies and similar 'perishable' bakery products, including hopia and doughnut making",1540,2015,B,6287,51855,43122,13021527.00,11695521.00,1709802.00,9985719.00,12652115.00,8483687.00,3577764.00,37820.00,-280729.00,0.00,0.00
Weavi ng of textiles,1580,2015,B,24,286,280,77581.00,72554.00,31549.00,41005.00,78750.00,27208.00,42450.00,0.00,4235.00,0.00,0.00
Manufacture of starches and starch products,1539,2015,B,6,70,67,298215.00,287882.00,21287.00,266595.00,298040.00,227567.00,69127.00,438.00,-1241.00,0.00,0.00
Manufacture of machinery for food processing,15340,2015,A,10,789,789,648483.00,616914.00,118594.00,498319.00,613973.00,413147.00,168972.00,9031.00,-26658.00,45.00,0.00
Manufacture of other articles of paperboard,15148,2015,B,7,53,52,41042.00,28231.00,5078.00,23153.00,39210.00,16057.00,20794.00,0.00,59.00,0.00,0.00
