industry_desc,ind_code,year,emp_code,est_number,total_employment,paid_employees,total_income,total_exp,compensation,other_exp,value_of_output,intermediate_exp,value_added,tf_assets,change_inv,subsidy,commerce_transaction
"Manufacture of agricultural and forestry machinery and equipment, n.e.c.",15332,2015,B,11,63,60,31386.00,29393.00,5732.00,23662.00,31249.00,13340.00,13111.00,0.00,5652.00,0.00,0.00
"Manufacture of rattan furniture (reed, wicker, and cane)",15368,2015,B,42,247,137,21991.00,26687.00,5672.00,21015.00,21973.00,10742.00,8411.00,0.00,-698.00,0.00,0.00
Manufacture of domestic-type water filters and/or purifiers,15300,2015,B,8,110,110,155517.00,155756.00,26122.00,129634.00,149334.00,106382.00,32981.00,6185.00,-14283.00,0.00,0.00
Manufacture of metal coffin,15399,2015,B,6,75,69,4210.00,3280.00,2434.00,846.00,4150.00,581.00,3539.00,0.00,-93.00,0.00,0.00
Manufacture of knitted and crocheted fabrics,1583,2015,B,17,176,176,49332.00,117365.00,22379.00,94986.00,44641.00,76592.00,-40678.00,0.00,-5352.00,0.00,0.00
Manufacture of flavoring extracts and food coloring,1560,2015,A,11,1123,1114,3207119.00,2842129.00,321594.00,2520535.00,3187436.00,2209302.00,786114.00,28190.00,126015.00,0.00,0.00
"Manufacture of galvanized steel sheets, tinplates and other coated metal products made in steel works or rolling mills",15229,2015,B,27,314,298,3005599.00,2990036.00,136554.00,2853482.00,2026694.00,1392312.00,469496.00,-2651.00,-1004764.00,0.00,0.00
"Manufacture of pulp, paper and paperboard, n.e.c.",15143,2015,A,11,748,746,2776669.00,2380084.00,140450.00,2239635.00,2020430.00,1317024.00,586512.00,7590.00,-120923.00,0.00,0.00
Manufacture of pesticides and other agro-chemical products,15169,2015,A,11,872,872,8343386.00,7802947.00,490389.00,7312557.00,8444836.00,5983249.00,1592938.00,12532.00,406858.00,0.00,0.00
"Pipes and tubes manufacturing, iron or steel",15227,2015,A,25,2687,2685,10782925.00,9166144.00,603453.00,8562691.00,10513706.00,7620579.00,2604558.00,119431.00,-353723.00,0.00,0.00
Manufacture of computers and peripheral equipment and accessories,15267,2015,B,4,39,38,50727.00,33080.00,10323.00,22757.00,49018.00,14830.00,28660.00,0.00,-5699.00,0.00,0.00
Manufacture of bodies (coachwork) for motor vehicles,15351,2015,B,21,236,236,167608.00,148603.00,35297.00,113306.00,167608.00,97584.00,58286.00,0.00,1063.00,0.00,0.00
Manufacture of lighting equipment and parts except for use on cycle and motor equipment,15293,2015,B,3,27,27,40021.00,40306.00,5156.00,35149.00,38502.00,28822.00,7243.00,1094.00,-690.00,0.00,0.00
"Non-ferrous rolling, drawing and extrusion mills",15233,2015,B,6,91,91,229003.00,205122.00,17256.00,187865.00,219191.00,168234.00,44554.00,7400.00,-13514.00,0.00,0.00
Manufacture of electrical quantities measuring and controlling instruments,15271,2015,A,3,118,118,262082.00,259287.00,15624.00,243662.00,262082.00,224915.00,22194.00,0.00,26638.00,0.00,0.00
Manufacture of box beds and mattresses,15369,2015,A,26,4022,4016,9146598.00,8568791.00,695625.00,7873166.00,8832028.00,6975818.00,1481318.00,144579.00,195407.00,0.00,0.00
Manufacture of leather parts of footwear,15119,2015,A,7,656,654,547826.00,540567.00,122751.00,417816.00,552292.00,262341.00,164734.00,37056.00,12652.00,0.00,0.00
Manufacture of canvas products,1586,2015,A,11,2109,2109,1252886.00,1223732.00,448054.00,775680.00,1241235.00,630394.00,517206.00,1902.00,-41532.00,0.00,0.00
Manufacture of rubber slippers,15117,2015,A,13,1093,1092,1035570.00,993092.00,183309.00,809784.00,1066359.00,771819.00,277975.00,10785.00,43043.00,0.00,0.00
"Manufacture of butter, cheese and curd",1528,2015,A,3,1225,1225,24278795.00,19186844.00,1227629.00,17959215.00,23864404.00,12024643.00,7227772.00,218836.00,-347306.00,0.00,0.00
Printing,15149,2015,B,1122,10066,9304,6846377.00,5989585.00,1108030.00,4881556.00,6766552.00,4205178.00,2307703.00,0.00,352771.00,0.00,0.00
"Manufacture of hats, gloves, handkerchiefs, neckwear and belts regardless of material",15102,2015,B,11,114,100,22659.00,20480.00,3618.00,16862.00,24049.00,15796.00,6396.00,0.00,263.00,0.00,0.00
Manufacture of machinery for metallurgy,15337,2015,A,34,3660,3651,7270072.00,6178380.00,802459.00,5375921.00,8121211.00,4554298.00,2956981.00,940899.00,642756.00,0.00,0.00
"Manufacture of narrow fabrics, laces, tulles and other net fabrics",1594,2015,B,13,120,120,38970.00,37783.00,14547.00,23237.00,32553.00,17839.00,20956.00,3870.00,1902.00,0.00,0.00
"Manufacture of plastics products, n.e.c.",15203,2015,B,76,1178,1168,1778723.00,1719167.00,194122.00,1525045.00,1802049.00,1433356.00,297688.00,11.00,-8987.00,236834.00,0.00
Manufacture of internal combustion engines (gas and diesel),15306,2015,A,3,376,376,853700.00,697277.00,120242.00,577034.00,803620.00,434663.00,316731.00,2592.00,2467.00,0.00,0.00
Manufacture of temperature measuring and controlling hygrometric instruments,15272,2015,A,4,298,298,228229.00,206634.00,70546.00,136086.00,200570.00,116114.00,99938.00,3876.00,1958.00,0.00,0.00
"Manufacture of slippers and sandals, other than rubber",15118,2015,B,33,405,197,41695.00,41867.00,7359.00,34507.00,46442.00,36328.00,8644.00,0.00,2828.00,0.00,0.00
"Manufacture of perishable prepared foods of fruit and vegetables, such as: salad, peeled or cut vegetables, tofu (bean curd)",1516,2015,A,10,490,461,863489.00,828751.00,53733.00,775019.00,861041.00,675713.00,142348.00,725.00,17821.00,0.00,0.00
Manufacture of lighting equipment and parts except for use on cycle and motor equipment,15293,2015,A,6,1075,1073,1720250.00,1600912.00,188821.00,1412091.00,1728949.00,1233804.00,388146.00,73130.00,38691.00,0.00,0.00
"Manufacture of brooms, brushes and fans",15401,2015,A,3,94,94,34188.00,32473.00,12798.00,19675.00,34708.00,29466.00,4108.00,0.00,-8017.00,0.00,0.00
Manufacture of jewelry made of precious and semi-precious stones,15374,2015,A,14,1648,1637,1379611.00,1302614.00,261192.00,1041423.00,1392544.00,949813.00,388490.00,10872.00,23588.00,0.00,0.00
Ready-made embroidered garments manufacturing,15101,2015,B,46,632,616,134544.00,127940.00,44421.00,83518.00,141829.00,71126.00,61948.00,3710.00,8396.00,0.00,0.00
"Repair of transport equipment, except motor vehicles, n.e.c.",15412,2015,A,3,410,406,748924.00,774470.00,214393.00,560077.00,709739.00,356384.00,251763.00,279594.00,11928.00,0.00,0.00
Manufacture of fish paste (bagoong) and fish sauce(patis),156,2015,B,27,324,252,9805.00,6802.00,4316.00,2487.00,9805.00,2255.00,7359.00,0.00,-76.00,0.00,0.00
Canning/packing of fish and other marine products,153,2015,A,43,11929,11918,23672393.00,23373523.00,1616280.00,21757243.00,22649219.00,18234400.00,2855242.00,247139.00,-274938.00,0.00,0.00
Ready-made embroidered garments manufacturing,15101,2015,A,13,2777,2777,434980.00,361256.00,229082.00,132175.00,434872.00,96087.00,317596.00,1443.00,876.00,0.00,0.00
Manufacture of rubber shoes,15113,2015,B,5,70,68,20275.00,13103.00,6972.00,6131.00,20537.00,5080.00,14386.00,0.00,-22.00,0.00,0.00
Manufacture of organic acids and organic compounds,15164,2015,A,5,248,248,534843.00,527998.00,56651.00,471347.00,534563.00,436974.00,85074.00,8931.00,-36163.00,0.00,0.00
Manufacture of pens and pencils of all kinds,15393,2015,A,3,187,187,796047.00,529496.00,79208.00,450289.00,826576.00,243451.00,393005.00,386.00,10912.00,0.00,0.00
Manufacture of candies (excluding chocolate candies) and chewing gum,1549,2015,B,69,759,759,506403.00,397064.00,48496.00,348568.00,492184.00,284676.00,191025.00,1550.00,-3061.00,0.00,0.00
"Pipes and tubes manufacturing, iron or steel",15227,2015,B,7,100,100,194219.00,185948.00,14040.00,171908.00,193687.00,136226.00,39860.00,0.00,-7822.00,0.00,0.00
"Manufacture of pumps for liquids, vacuum pumps, air or other gas compressors",15310,2015,A,4,329,329,3256359.00,3123512.00,223817.00,2899694.00,3324896.00,2673782.00,484338.00,84384.00,103865.00,0.00,0.00
Manufacture of abrasive products,15223,2015,A,3,547,547,1017919.00,1004849.00,113698.00,891151.00,1004355.00,817228.00,156371.00,21951.00,-2516.00,0.00,0.00
"Manufacture of ice cream and sherbet, ice drop, ice candy and other flavored ices",1529,2015,A,11,1103,1096,8852057.00,5935598.00,560471.00,5375127.00,8860461.00,4614620.00,3889226.00,13621.00,-131510.00,0.00,0.00
Manufacture of bodies (coachwork) for motor vehicles,15351,2015,A,16,1313,1308,3343179.00,2999593.00,314962.00,2684631.00,3362100.00,2468311.00,786421.00,9640.00,158263.00,0.00,0.00
Manufacture of textile machinery,15342,2015,B,3,24,22,11623.00,11194.00,2321.00,8872.00,11710.00,5848.00,3303.00,0.00,-449.00,0.00,0.00
Manufacture of inorganic salts and compounds,15160,2015,A,5,331,331,14901252.00,14577890.00,180867.00,14397023.00,14313266.00,13958214.00,215274.00,720706.00,-542876.00,0.00,112500.00
Treatment and coating of metals; machining,15251,2015,A,24,1290,1290,2647314.00,2461121.00,336541.00,2124579.00,2576760.00,1452919.00,864323.00,204059.00,-30239.00,0.00,0.00
Manufacture of side cars,15362,2015,B,22,102,67,49537.00,38678.00,4350.00,34328.00,49483.00,31053.00,18203.00,0.00,374.00,0.00,0.00
Preparation and finishing of textiles (integrated),1582,2015,A,3,353,344,470426.00,397538.00,40975.00,356563.00,542314.00,393122.00,138406.00,0.00,63999.00,0.00,0.00
Manufacture of vinegar,1562,2015,A,4,144,134,2346493.00,2053412.00,239176.00,1814236.00,2347849.00,1217996.00,632644.00,6544.00,126884.00,0.00,0.00
"Baking of biscuits cookies, crackers, pretzels and similar dry bakery products",1541,2015,B,29,314,293,242864.00,250971.00,19835.00,231136.00,225930.00,207128.00,17092.00,0.00,-40760.00,0.00,0.00
Manufacture of other electronic and electric wires and cables,15290,2015,B,11,138,138,1431405.00,1385435.00,24981.00,1360454.00,1419940.00,1257022.00,79013.00,0.00,-10204.00,0.00,0.00
Manufacture of prepared meals and dishes,1553,2015,B,6,85,77,116299.00,113025.00,6947.00,106078.00,116211.00,100357.00,12245.00,0.00,-61055.00,0.00,0.00
Manufacture of plastic pipes and tubes,15198,2015,A,38,3727,3700,12071736.00,11201775.00,896662.00,10305114.00,11962683.00,9028646.00,2160942.00,64299.00,-203182.00,1990.00,0.00
Manufacture of nata de coco,1520,2015,B,5,95,90,45500.00,28788.00,10460.00,18327.00,45500.00,16762.00,28693.00,0.00,-8172.00,0.00,0.00
Manufacture of refractory products,15208,2015,B,13,98,92,123668.00,119245.00,14638.00,104607.00,123198.00,87932.00,21576.00,0.00,-2387.00,0.00,0.00
Manufacture of knitted and crocheted apparel,15106,2015,B,7,102,101,52328.00,89983.00,14625.00,75358.00,62119.00,82230.00,-21032.00,0.00,-1709.00,0.00,0.00
Manufacture of glass fibers (including glass wool) and yarn of glass fibers,15206,2015,A,11,1502,1492,1837651.00,1787436.00,288916.00,1498519.00,1820575.00,1242650.00,425230.00,27797.00,42424.00,0.00,0.00
"Manufacture of miscellaneous fabricated metal products, n.e.c.",15264,2015,B,75,942,942,279707.00,283957.00,63473.00,220484.00,281094.00,158982.00,73875.00,216.00,5176.00,0.00,0.00
"Manufacture of wearing apparel, n.e.c",15103,2015,B,118,1190,1026,535035.00,545982.00,88722.00,457260.00,525440.00,409899.00,89219.00,11480.00,-437.00,0.00,0.00
"Manufacture of electrothermic domestic appliances (e.g. hair dressing appliances, electric instantaneous storage, heaters, flat-irons, plate warmers, coffee or teamakers)",15299,2015,A,10,1893,1890,12886153.00,12515238.00,758599.00,11756639.00,11115433.00,8050492.00,1338010.00,192833.00,107139.00,0.00,0.00
"Manufacture of cleaning preparations, except soap and detergents",15177,2015,B,6,40,40,547393.00,439013.00,63465.00,375548.00,547430.00,197274.00,245933.00,21677.00,1008.00,0.00,0.00
Slaughtering and meat packing,151,2015,A,40,4698,4655,2890738.00,2634770.00,480498.00,2154272.00,2797290.00,1791983.00,928288.00,110654.00,6090.00,591.00,0.00
Manufacture of hand-made paper,15142,2015,B,4,66,64,61664.00,54743.00,5958.00,48785.00,61734.00,42371.00,14650.00,26.00,-116.00,0.00,0.00
"Manufacture of slippers and sandals, other than rubber",15118,2015,A,16,1126,1086,450433.00,431498.00,75724.00,355774.00,448531.00,321720.00,111618.00,3953.00,-16823.00,0.00,0.00
Manufacture of candies (excluding chocolate candies) and chewing gum,1549,2015,A,33,2992,2952,5977174.00,5764479.00,700788.00,5063691.00,5966429.00,4290961.00,1249769.00,130097.00,-50490.00,0.00,0.00
Manufacture of organic acids and organic compounds,15164,2015,B,6,47,47,1000950.00,944710.00,23308.00,921401.00,1018194.00,871685.00,116379.00,177706.00,-1196.00,0.00,0.00
Manufacture of virgin coconut oil,1518,2015,A,20,1663,1657,31547838.00,29465482.00,323681.00,29141801.00,30743891.00,27768900.00,2471112.00,156787.00,464554.00,0.00,0.00
"Manufacture of food products, n.e.c.",1563,2015,A,48,4643,4634,25557307.00,23231411.00,2026225.00,21205187.00,25631598.00,17327884.00,5078936.00,241129.00,1452172.00,0.00,0.00
Manufacture of pigments and other coloring matter of a kind used in the manufacture of paints or by artists or other painters,15173,2015,A,3,240,240,2715250.00,2143731.00,76851.00,2066880.00,2554367.00,2053572.00,420603.00,67283.00,59582.00,0.00,0.00
"Manufacture of explosives, fireworks and firecrackers",15180,2015,A,4,716,714,2934434.00,2232196.00,246527.00,1985669.00,2879037.00,1648911.00,992560.00,1142.00,-106887.00,0.00,0.00
Manufacture of machinery for metallurgy,15337,2015,B,4,43,43,183593.00,181065.00,5993.00,175073.00,172235.00,150555.00,16293.00,80.00,-11410.00,0.00,0.00
"Manufacture of switches, fuses, sockets, plugs, conductors and lightning arresters and other control apparatus",15286,2015,A,9,1578,1578,2312080.00,2220829.00,253551.00,1967278.00,2311117.00,1699380.00,492767.00,24620.00,-6061.00,0.00,0.00
"Manufacture of other products of wood; manufacture of articles of cork and plaiting materials, except furniture, n.e .c.",15138,2015,A,16,973,963,684197.00,624505.00,178639.00,445866.00,657188.00,340570.00,280203.00,32815.00,-514.00,0.00,0.00
Manufacture of knitted and crocheted fabrics,1583,2015,A,13,684,679,1084646.00,1052530.00,100391.00,952140.00,1086953.00,901212.00,168235.00,0.00,-10119.00,0.00,0.00
Manufacture of milk-based infants' and dietetic foods,1530,2015,A,13,4231,4230,35305405.00,27969626.00,3072248.00,24897378.00,34455286.00,15308509.00,12311725.00,760962.00,-590102.00,0.00,0.00
"Manufacture of machinery for pulp, paper and paperboard industries",15345,2015,A,3,200,200,279127.00,264736.00,45677.00,219059.00,283485.00,162989.00,69060.00,2948.00,90240.00,0.00,0.00
Manufacture of computers and peripheral equipment and accessories,15267,2015,A,42,73423,72947,209754595.00,193670513.00,17180165.00,176490348.00,213485307.00,162810237.00,43915849.00,1997778.00,-31519317.00,0.00,0.00
Manufacture of chocolate and cocoa products including chocolate candies,1548,2015,A,8,817,807,2585793.00,2522652.00,312332.00,2210319.00,2598598.00,1803550.00,531027.00,43066.00,154803.00,0.00,0.00
"Manufacture of fishing nets and other nettings, (excluding mosquito and hairnets)",1591,2015,A,4,847,775,1370679.00,1333852.00,168144.00,1165707.00,1430498.00,1196858.00,225790.00,1481.00,-10224.00,2651.00,0.00
Manufacture of charcoal outside the forest,15131,2015,B,8,114,114,707143.00,758411.00,14685.00,743726.00,819282.00,672508.00,25877.00,400.00,185137.00,0.00,0.00
Manufacture of bicycles and bicycle parts,15364,2015,B,5,45,45,16979.00,15528.00,2519.00,13008.00,17658.00,11314.00,4569.00,0.00,1068.00,0.00,0.00
"Manufacture of fans intended for industrial applications, exhaust hoods for commercial, laboratory or industrial use",15327,2015,A,3,170,170,365078.00,320442.00,57074.00,263368.00,358954.00,231981.00,107036.00,0.00,9457.00,0.00,0.00
Manufacture of electrical transformers,15283,2015,A,18,4617,4612,3486850.00,3160004.00,546081.00,2613924.00,3466840.00,2244886.00,993381.00,39729.00,45764.00,0.00,3007.00
"Manufacture of other rubber products, n.e.c.",15194,2015,A,20,1305,1305,2065447.00,1602815.00,187401.00,1415413.00,2000240.00,1229529.00,664146.00,10937.00,-249.00,0.00,0.00
Manufacture of signs and advertising displays,15403,2015,B,22,160,160,328937.00,317534.00,50143.00,267390.00,328670.00,247117.00,74349.00,2250.00,3810.00,0.00,0.00
Repairing of ships and boats other than sports and pleasure boats,15410,2015,A,13,1230,1230,1612600.00,1345321.00,205457.00,1139864.00,1606891.00,919238.00,548621.00,44853.00,-585.00,0.00,0.00
Manufacture of clay building materials,15209,2015,A,10,2949,2949,5334845.00,4562009.00,408203.00,4153806.00,5384065.00,2841401.00,1833497.00,376725.00,-133657.00,0.00,0.00
Manufacture of rough lumber,15121,2015,A,24,1929,1910,1292474.00,1152881.00,150213.00,1002668.00,1289196.00,849664.00,349036.00,9404.00,25868.00,0.00,0.00
Processing of fresh milk and cream,1525,2015,A,9,4070,4070,147219584.00,124811337.00,7374878.00,117436460.00,142354050.00,66542112.00,33400669.00,1909473.00,-3564963.00,0.00,0.00
"Processing and preserving of fruits and vegetables, n.e.c.",1517,2015,B,7,78,68,79633.00,71196.00,7671.00,63524.00,79715.00,60336.00,17896.00,0.00,-1617.00,0.00,0.00
Casting/foundry of steel,15237,2015,B,5,69,68,49125.00,46380.00,7504.00,38875.00,48939.00,35121.00,11501.00,0.00,-1418.00,0.00,0.00
"Manufacture of articles of concrete, cement and plaster, n.e.c.",15218,2015,A,8,379,379,2130601.00,1824792.00,168995.00,1655796.00,1921430.00,1029567.00,593298.00,0.00,-16814.00,0.00,0.00
Manufacture of embroidered fabrics,1593,2015,A,8,299,298,87703.00,67022.00,28970.00,38052.00,87021.00,25914.00,55889.00,127.00,718.00,0.00,0.00
Manufacture of semi-conductor devices and other electronic components,15266,2015,B,13,173,172,190153.00,176711.00,33535.00,143176.00,189135.00,112667.00,50019.00,3825.00,-2304.00,0.00,0.00
Manufacture of communication equipment,15268,2015,A,12,5178,5158,6079173.00,5733564.00,832387.00,4901177.00,6252111.00,4016313.00,1082569.00,150553.00,454153.00,0.00,0.00
Manufacture of farm tractors,15330,2015,A,8,649,644,1803882.00,1710499.00,111585.00,1598915.00,1630089.00,1333731.00,237284.00,21646.00,11148.00,0.00,0.00
Zinc and zinc alloy casting,15240,2015,A,3,568,568,942508.00,1069116.00,175726.00,893391.00,936742.00,720808.00,135939.00,34128.00,14824.00,0.00,0.00
"Manufacture of carpets and rugs, except mats of textile materials",1588,2015,A,10,919,916,558921.00,511567.00,89874.00,421693.00,551090.00,356975.00,158129.00,9465.00,10764.00,0.00,0.00
"Manufacture of plastics products, n.e.c.",15203,2015,A,81,6982,6980,9590729.00,9009717.00,1218037.00,7791680.00,9643016.00,6875884.00,2253167.00,273838.00,14343.00,0.00,0.00
Manufacture of bottled water,1571,2015,A,30,2902,2900,3132483.00,2982892.00,511237.00,2471655.00,3091690.00,1773050.00,890503.00,419358.00,-34496.00,0.00,0.00
"Manufacture of mayonnaise, salad dressing, sandwich spread and similar products",1561,2015,A,4,390,390,10612704.00,8385969.00,491929.00,7894040.00,10333142.00,4320951.00,2812388.00,0.00,-144573.00,0.00,0.00
Manufacture of fiber optic cables,15289,2015,A,3,772,772,951486.00,913065.00,173014.00,740052.00,992213.00,645089.00,224840.00,15521.00,11660.00,0.00,0.00
"Integrated pulp,paper and paperboard milling",15139,2015,A,10,919,913,2692612.00,2613414.00,227267.00,2386147.00,2649959.00,2122979.00,415065.00,4377.00,-49918.00,0.00,0.00
Custom tailoring,15104,2015,A,33,1195,1114,290957.00,239838.00,102738.00,137100.00,280695.00,105715.00,159584.00,70.00,23623.00,0.00,0.00
Manufacture of industrial (compressed and liquefied) gases,15159,2015,B,36,432,432,1442930.00,1406569.00,61130.00,1345439.00,1416759.00,727897.00,619638.00,0.00,-14594.00,0.00,0.00
"Manufacture of knitted or crocheted hosiery, underwear and outerwear when knitted o r crocheted directly into shape",15107,2015,B,3,35,35,14104.00,14082.00,4488.00,9594.00,15420.00,8521.00,6110.00,0.00,1593.00,0.00,0.00
Men's and boys' garment manufacturing,1599,2015,A,156,22011,21913,12905592.00,12265246.00,4016078.00,8249168.00,13453179.00,7702223.00,5133304.00,64286.00,652094.00,0.00,0.00
Manufacture of medical and precision instruments,15391,2015,B,6,79,79,46092.00,37911.00,6951.00,30961.00,47332.00,29285.00,15626.00,0.00,7945.00,0.00,0.00
Manufacture of silverware and plated ware,15375,2015,B,6,46,38,10214.00,11069.00,3860.00,7209.00,10142.00,4939.00,3740.00,850.00,-64.00,0.00,0.00
Manufacture of coarse clay products,15212,2015,B,25,201,156,19743.00,13037.00,5431.00,7606.00,19802.00,5454.00,14271.00,0.00,43.00,0.00,0.00
Manufacture of cigarettes,1574,2015,A,7,7673,7673,142216633.00,140404574.00,6875357.00,133529217.00,144961356.00,28926414.00,108694858.00,2034714.00,2808395.00,0.00,689.00
Paper and paperboard milling,15141,2015,B,16,224,224,605935.00,614560.00,79548.00,535012.00,621840.00,482532.00,120944.00,0.00,46536.00,0.00,0.00
Manufacture of flavoring extracts and food coloring,1560,2015,B,6,71,64,95314.00,88213.00,3595.00,84618.00,96545.00,80722.00,11969.00,0.00,-735.00,0.00,0.00
Manufacture of general hardware,15254,2015,A,7,3231,3231,4596032.00,4075194.00,397608.00,3677586.00,4775491.00,3763992.00,850633.00,50623.00,338434.00,0.00,0.00
Processing of seaweeds; manufacture of agar-agar or carageenan,157,2015,A,18,1330,1320,9317957.00,8626013.00,394383.00,8231630.00,9449088.00,7591325.00,1354751.00,93386.00,-28203.00,0.00,0.00
"Manufacture of rattan furniture (reed, wicker, and cane)",15368,2015,A,19,1328,1326,1103640.00,984037.00,231098.00,752939.00,1115154.00,683651.00,384234.00,2581.00,-9649.00,0.00,0.00
"Manufacture of buttons, except plastic",15400,2015,A,4,334,334,167530.00,156629.00,51685.00,104944.00,167492.00,83023.00,74624.00,2652.00,13861.00,0.00,0.00
Manufacture of packing and wrapping machinery,15325,2015,A,4,226,226,399021.00,367761.00,57540.00,310222.00,390386.00,264602.00,100827.00,995.00,-18746.00,0.00,0.00
Manufacture of plastic pipes and tubes,15198,2015,B,34,510,510,426216.00,418946.00,50196.00,368750.00,431397.00,336177.00,73804.00,192578.00,16364.00,0.00,0.00
"Manufacture of medical, surgical, dental furniture and fixtures",15388,2015,B,7,90,90,91108.00,84196.00,18232.00,65964.00,86769.00,48558.00,25932.00,1635.00,1484.00,0.00,0.00
Manufacture of parts and accessories of motorcycles,15363,2015,B,4,31,31,51970.00,48234.00,7011.00,41223.00,47231.00,31371.00,12209.00,0.00,-1341.00,0.00,0.00
"Manufacture of steam generators, except central heating hot water boilers",15246,2015,A,6,1322,1322,1941786.00,1286203.00,467620.00,818584.00,1937204.00,596229.00,1276494.00,62414.00,93956.00,0.00,0.00
"Manufacture of articles of concrete, cement and plaster, n.e.c.",15218,2015,B,13,193,190,1474287.00,1346030.00,28940.00,1317090.00,1461647.00,1135142.00,204786.00,0.00,1958.00,0.00,0.00
Production of fishmeal/prawn feeds,158,2015,A,8,719,719,4595726.00,4535373.00,232560.00,4302813.00,4555226.00,3934789.00,401948.00,76066.00,-10946.00,0.00,0.00
Flour milling except cassava flour milling,1534,2015,A,11,2214,2213,55332754.00,47312349.00,1408071.00,45904278.00,54754107.00,39699891.00,11160844.00,1626052.00,1028645.00,1520.00,0.00
Manufacture of household and personal hygiene paper and cellulose wadding products,15145,2015,B,8,106,104,190460.00,167535.00,20849.00,146687.00,184626.00,102710.00,53102.00,0.00,-6315.00,0.00,0.00
Manufacture of rubber tires (including parts) and tubes,15190,2015,B,5,50,48,215164.00,194793.00,6483.00,188311.00,210647.00,161802.00,28721.00,0.00,4308.00,0.00,0.00
"Manufacture of other rubber products, n.e.c.",15194,2015,B,21,207,204,401357.00,388324.00,28599.00,359725.00,406838.00,341159.00,55864.00,23774.00,108792.00,0.00,0.00
Manufacture of matches,15181,2015,A,3,909,898,1393043.00,1228346.00,214301.00,1014045.00,1383643.00,696216.00,488368.00,12329.00,58433.00,0.00,0.00
"Manufacture of sawali, nipa and split canes",15134,2015,B,5,45,38,6643.00,5248.00,1894.00,3354.00,6781.00,2757.00,3607.00,0.00,312.00,0.00,0.00
"Manufacture of galvanized steel sheets, tinplates and other coated metal products made in steel works or rolling mills",15229,2015,A,26,1852,1845,20750453.00,20223215.00,976997.00,19246219.00,20658772.00,17519906.00,2386277.00,296019.00,-728916.00,0.00,0.00
Manufacture of parts and accessories for motor vehicles and their engines,15354,2015,B,39,316,304,233525.00,200907.00,29617.00,171290.00,242516.00,142143.00,70382.00,0.00,9609.00,0.00,0.00
Manufacture of marble products,15222,2015,A,6,199,199,131099.00,89978.00,20531.00,69447.00,124630.00,53983.00,65322.00,220.00,-4568.00,0.00,0.00
Manufacture of silverware and plated ware,15375,2015,A,4,245,245,195062.00,195480.00,34997.00,160483.00,199943.00,137352.00,47906.00,0.00,-17944.00,0.00,0.00
"Manufacture of other architectural and related metal work (e.g., doors, windows, shutters, gates, etc.)",15243,2015,A,59,3030,2999,3542145.00,3352732.00,449139.00,2903593.00,3567751.00,2637195.00,786131.00,92166.00,-1028.00,0.00,0.00
Manufacture of structural concrete products,15217,2015,A,99,6565,6494,19950075.00,18066368.00,1287853.00,16778515.00,19841431.00,15066891.00,3991454.00,555219.00,220371.00,0.00,0.00
Finishing of textiles,1581,2015,A,30,3376,3348,3649170.00,4055709.00,515883.00,3539826.00,3326568.00,2774981.00,300044.00,184851.00,-608461.00,0.00,0.00
Weavi ng of textiles,1580,2015,A,17,685,681,656167.00,587697.00,88684.00,499013.00,620279.00,397140.00,215393.00,6442.00,-8636.00,0.00,0.00
Tanning and dressing of leather,15109,2015,A,3,199,198,224700.00,212201.00,17305.00,194896.00,230311.00,175889.00,44296.00,2274.00,-4743.00,0.00,0.00
Manufacture of plastic furniture,15371,2015,A,12,686,686,1827131.00,1775933.00,133799.00,1642134.00,1800753.00,1515716.00,250397.00,32035.00,-51688.00,0.00,0.00
Manufacture of prepared meals and dishes,1553,2015,A,4,262,262,756193.00,746243.00,119247.00,626996.00,764281.00,397993.00,280975.00,0.00,-27159.00,0.00,0.00
"Processing, preserving and canning of fish, crustacean and mollusks, n.e.c. manufacture of fishball, etc.",1510,2015,A,39,3082,3046,4522011.00,4341414.00,357046.00,3984367.00,4441177.00,3484117.00,638785.00,32717.00,-73858.00,34.00,0.00
Manufacture of electric lamps fluorescent and fixtures,15292,2015,A,19,4636,4636,5812866.00,4773525.00,737544.00,4035981.00,5608086.00,3155252.00,2050893.00,16177.00,-30650.00,0.00,0.00
"Operation of steel works and rolling mills, n.e.c.",15230,2015,A,6,639,639,6902278.00,6697780.00,121762.00,6576017.00,5119470.00,4475009.00,406419.00,8913.00,446224.00,0.00,0.00
"Manufacture of prosthetic appliances, artificial teeth made to order",15390,2015,B,9,90,90,29083.00,29260.00,15999.00,13260.00,29083.00,8196.00,18037.00,0.00,-1265.00,0.00,0.00
Manufacture of pipe fittings of non-ferrous metals,15234,2015,A,5,281,281,294501.00,243456.00,23303.00,220154.00,287402.00,199020.00,87190.00,0.00,-2142.00,0.00,0.00
Manufacture of air and spacecraft and related machinery,15358,2015,B,4,49,49,225313.00,183655.00,17931.00,165724.00,205645.00,139148.00,47661.00,2880.00,-2914.00,0.00,0.00
Manufacture of wheeled toys,15385,2015,B,11,115,108,95121.00,112761.00,8550.00,104211.00,79132.00,78850.00,-2673.00,0.00,-14471.00,0.00,0.00
"Manufacture of other general-purpose machinery, n.e.c. (including manufacture of specialized parts for general purpose machinery and equipment)",15329,2015,B,3,27,27,88122.00,84712.00,4301.00,80411.00,86430.00,72855.00,9398.00,0.00,-1774.00,0.00,0.00
